CMDLINE /home/wuning/anaconda3/bin/python generateBeijingSupervisedData.py
MEM 9613.953125 1537849756.1819
MEM 9580.113281 1537849756.2822
MEM 9586.886719 1537849756.3825
MEM 9592.886719 1537849756.4829
MEM 9607.867188 1537849756.5833
MEM 9607.867188 1537849756.6836
MEM 9637.941406 1537849756.7840
MEM 9646.968750 1537849756.8844
MEM 9667.945312 1537849756.9849
MEM 9705.492188 1537849757.0853
MEM 9689.125000 1537849757.1858
MEM 9713.179688 1537849757.2863
MEM 9720.691406 1537849757.3867
MEM 9720.691406 1537849757.4872
MEM 9695.011719 1537849757.5876
MEM 9714.312500 1537849757.6881
MEM 9745.351562 1537849757.7885
MEM 9745.351562 1537849757.8889
MEM 9776.121094 1537849757.9893
MEM 9783.968750 1537849758.0897
MEM 9783.968750 1537849758.1902
MEM 9799.265625 1537849758.2906
MEM 9808.886719 1537849758.3910
MEM 9826.886719 1537849758.4915
MEM 9794.914062 1537849758.5919
MEM 9802.914062 1537849758.6924
MEM 9820.734375 1537849758.7928
MEM 9826.992188 1537849758.8933
MEM 9850.292969 1537849758.9937
MEM 9880.042969 1537849759.0942
MEM 9917.269531 1537849759.1946
MEM 9917.269531 1537849759.2950
MEM 9924.683594 1537849759.3955
MEM 9904.003906 1537849759.4959
MEM 9932.097656 1537849759.5964
MEM 9899.062500 1537849759.6968
MEM 9905.062500 1537849759.7972
MEM 9924.097656 1537849759.8977
MEM 9924.097656 1537849759.9981
MEM 9953.398438 1537849760.0985
MEM 9982.695312 1537849760.1990
MEM 9982.695312 1537849760.2994
MEM 10019.207031 1537849760.3998
MEM 10019.207031 1537849760.5003
MEM 10026.625000 1537849760.6007
MEM 10031.773438 1537849760.7011
MEM 10033.937500 1537849760.8016
MEM 10033.937500 1537849760.9021
MEM 10010.882812 1537849761.0025
MEM 10027.863281 1537849761.1029
MEM 10052.945312 1537849761.2034
MEM 10057.937500 1537849761.3038
MEM 10087.945312 1537849761.4043
MEM 10115.488281 1537849761.5047
MEM 10125.488281 1537849761.6052
MEM 10125.488281 1537849761.7056
MEM 10133.175781 1537849761.8060
MEM 10133.175781 1537849761.9065
MEM 10140.687500 1537849762.0069
MEM 10140.687500 1537849762.1073
MEM 10113.011719 1537849762.2078
MEM 10132.570312 1537849762.3082
MEM 10142.878906 1537849762.4087
MEM 10162.128906 1537849762.5091
MEM 10191.878906 1537849762.6095
MEM 10229.105469 1537849762.7099
MEM 10229.105469 1537849762.8103
MEM 10236.519531 1537849762.9107
MEM 10235.839844 1537849763.0112
MEM 10243.933594 1537849763.1116
